L1_Category_name,L1_Category_id,L2_Category_name,L2_Category_id,L3_Category_name,L3_Category_id,L4_Category_name,L4_Category_id,L5_Category_name,L5_Category_id
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Indonesian Restaurant,4deefc054765f83613cdba6f,Javanese Restaurant,52960eda3cf9994f4e043ac7,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Indonesian Restaurant,4deefc054765f83613cdba6f,Manadonese Restaurant,52960eda3cf9994f4e043ac8,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Indonesian Restaurant,4deefc054765f83613cdba6f,Padangnese Restaurant,52960eda3cf9994f4e043ac5,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Indonesian Restaurant,4deefc054765f83613cdba6f,Sundanese Restaurant,52960eda3cf9994f4e043ac6,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Japanese Restaurant,4bf58dd8d48988d111941735,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Donburi Restaurant,55a59bace4b013909087cb0c,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Japanese Curry Restaurant,55a59bace4b013909087cb30,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Kaiseki Restaurant,55a59bace4b013909087cb21,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Kushikatsu Restaurant,55a59bace4b013909087cb06,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Monjayaki Restaurant,55a59bace4b013909087cb1b,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Nabe Restaurant,55a59bace4b013909087cb1e,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Okonomiyaki Restaurant,55a59bace4b013909087cb18,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Ramen Restaurant,55a59bace4b013909087cb24,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Shabu-Shabu Restaurant,55a59bace4b013909087cb15,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Soba Restaurant,55a59bace4b013909087cb27,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Sukiyaki Restaurant,55a59bace4b013909087cb12,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Sushi Restaurant,4bf58dd8d48988d1d2941735,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Takoyaki Place,55a59bace4b013909087cb2d,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Tempura Restaurant,55a59a31e4b013909087cb00,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Tonkatsu Restaurant,55a59af1e4b013909087cb03,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Udon Restaurant,55a59bace4b013909087cb2a,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Unagi Restaurant,55a59bace4b013909087cb0f,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Wagashi Place,55a59bace4b013909087cb33,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Yakitori Restaurant,55a59bace4b013909087cb09,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Yoshoku Restaurant,55a59bace4b013909087cb36,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Korean Restaurant,4bf58dd8d48988d113941735,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Bossam/Jokbal Restaurant,56aa371be4b08b9a8d5734e4,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Bunsik Restaurant,56aa371be4b08b9a8d5734f0,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Gukbap Restaurant,56aa371be4b08b9a8d5734e7,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Janguh Restaurant,56aa371be4b08b9a8d5734ed,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Samgyetang Restaurant,56aa371be4b08b9a8d5734ea,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Malay Restaurant,4bf58dd8d48988d156941735,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Mamak Restaurant,5ae9595eb77c77002c2f9f26,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Mongolian Restaurant,4eb1d5724b900d56c88a45fe,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Noodle House,4bf58dd8d48988d1d1941735,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Ramen /  Noodle House,4bf58dd8d48988d1d1941735,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Satay Restaurant,56aa371be4b08b9a8d57350e,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Thai Restaurant,4bf58dd8d48988d149941735,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Som Tum Restaurant,56aa371be4b08b9a8d573502,,,,
